Name, RA, Dec, N_exp, SNR
HIP4328,13.85222,-51.8314,27,91.2407803562
HD116883,201.82729,-39.9529,10,109.284902891
HD111777,193.05025,-56.57474,148,939.38214801
HD106589,183.90426,-48.41651,8,111.530130458
HD105,1.46816,-41.75258,31,575.861927896
HD115617,199.60061,-18.31293,754,7221.06213379
HD3374,9.07198,-43.24076,2,71.8259702336
HD175179,283.59481,-4.60653,3,135.530107356
HIP115955,352.39095,-47.03702,10,97.1898142811
HD126525,216.88889,-51.93391,132,1477.14685797
HD142022A,242.52424,-84.22688,14,260.920639276
HD123517,213.50287,-78.89849,9,166.572146531
HD143754,241.36597,-59.2142,1,45.2
HIP23516,75.84288,-23.25133,3,46.478919953
BD+103022s,248.17746,9.79309,2,36.2791951399
PPM213757,60.56761,-15.3566,11,227.195400482
HIP41277,126.31697,4.25283,1,28.3
HD176982,285.68408,-0.70977,2,71.2877268539
HD27282,64.78088,17.52208,4,129.388137014
HD66838,121.09318,-28.41999,12,163.946912139
HD110619,190.92749,-37.70914,26,794.212729689
HR8883,350.31615,-26.98464,45,976.166184622
HD89668,155.1798,-1.47034,5,89.3063827506
HD63685,116.60453,-61.42993,6,153.882162709
HD56351,108.42567,-54.90197,5,85.6555310532
Gl729,282.457,-23.83811,8,71.954360535
HD103746,179.18493,-47.0733,1,108.8
HD123615,212.15742,6.02785,2,68.3316178646
HD128833,220.13577,-42.66838,2,65.8808773469
HD214954,340.86019,-64.81102,2,101.770575315
HD1466,4.60607,-63.47828,22,470.549444798
HD16885,40.60913,-1.31925,1,42.1
HD115585,199.95888,-70.85475,28,720.934823684
HD8535,20.90293,-41.26872,40,343.043583237
HIP7829,25.18462,-49.23121,5,83.0224668388
HD23901,57.159,-4.42189,21,329.750739196
Gl628,247.57571,-12.66477,208,476.221429589
HD167300,274.68816,-61.93558,82,610.019114455
HD144589,241.91082,-29.96466,46,345.991069249
HD86551,149.58963,-36.05733,1,38.0
HD194330,306.97783,-57.64523,3,64.0897027611
HIP49889,152.81002,-82.86657,18,63.3062398188
HD109368,188.60591,-46.50671,5,62.8176726726
HD90711,157.0503,-6.60241,27,712.372971132
HD130322,221.88565,-0.28276,7,268.1241317
HD57375,109.1628,-64.12605,2,100.122025549
HD224063,358.72014,-0.2884,12,178.659956342
HD208672,329.50131,-5.20741,1,47.5
HD91379,158.1854,-19.20246,30,456.080168391
HD-92106,158.23552,-81.16744,13,373.253720678
HD161256,267.0855,-60.66311,19,256.450404562
HD125612,215.22378,-17.48197,44,367.483986046
BD-114934A,289.34822,-11.56678,2,48.4010330468
HD120491,207.77296,-53.73314,5,63.2231761303
Gl846,330.54069,1.39998,55,396.899584278
HIP31862,99.90894,-55.60975,20,223.692020421
HD189625,300.38609,-16.86646,19,728.260097767
HD80545,139.53524,-57.76993,5,70.6153665996
HD108063,186.28645,-42.51562,28,583.711923812
HD122308,210.63441,-52.64284,8,88.3387797063
HD149621,249.31443,-33.14939,1,39.2
HD75328,130.08918,-79.67458,9,122.913384137
HIP54446,167.10094,-26.15563,8,123.865168631
HD139590,234.75023,-0.31473,15,420.712574093
HD38772,86.71922,-28.89048,4,100.737430978
HD145417,243.45071,-57.57253,89,1010.32976795
HD177756,286.56222,-4.88263,2,613.035610711
KAPFOR,35.63516,-23.81836,32,1153.34876772
HD105779,182.66207,-16.95727,40,290.338337117
HD175607,285.27647,-66.19337,129,886.674241196
HD125455,214.89503,-5.15211,43,925.058365726
HD91345,157.52244,-71.56117,25,496.318174158
HD12055,29.29122,-47.38553,2,325.673947377
HD113513,196.71507,-77.87146,5,114.312422772
HD76440,133.51447,-51.58487,7,106.87090343
HD117938,203.57924,-36.52429,4,65.2891262003
HD215789,342.13892,-51.32066,5,594.575251755
HIP112703,342.36007,-58.25379,4,57.9429029304
HD209458,330.79383,18.88476,20,456.570564097
HD21132,50.35285,-61.48956,102,1021.38597504
HR1544,72.65305,8.89732,13,1044.93652439
HD106116,183.12012,-3.08486,122,1787.67427962
HD130930,223.06789,-43.82069,21,422.856334941
Gl486,191.98318,9.75002,12,55.7435198028
HD59984,113.02474,-8.88176,65,1931.70475487
HIP66678,205.03491,-66.33892,8,73.3523687416
HD109988,189.8161,-32.72648,23,211.777312288
HD224047,358.70991,-47.80769,6,77.1572420451
HD-46462,97.9285,-37.18156,41,647.784593827
HD77748,135.94677,-19.82431,1,41.9
HD218693,347.65985,-45.4561,19,318.105532803
HD72659,128.51411,-1.56853,16,259.361562303
WCMa,107.01458,-11.92404,1,51.8
HIP93102,284.49573,-47.44913,2,31.7157689486
HD207583,327.59499,-16.19858,2,154.975740037
HD16522,37.91567,-79.10701,3,303.615711056
HD101896,175.89389,-14.02086,1,55.5
HD323684,262.18673,-41.66662,19,135.611762027
HD105837,182.74085,-46.32215,26,817.249655858
HD110668,190.99324,-35.12461,11,463.419280997
HD217738,345.90594,-56.29384,2,27.6260746397
HD631,2.66211,12.8185,2,54.9534348335
HD108309,186.69958,-48.91328,49,1427.88910984
HIP17157,55.12062,-47.92554,13,180.203107631
HD171028,278.06384,6.94619,89,707.244879798
HD6234,15.70498,-37.31527,2,59.6547567257
HD60162,113.15877,-16.82382,2,51.730165281
HD141598,237.6804,-24.0076,12,157.787990671
LHS3056,229.79586,-12.75556,6,20.6567180355
HD311505,132.7501,-74.0814,5,94.3983580366
HD35850,81.76847,-11.89977,4,217.421296105
HD115499,202.19504,-86.44947,5,53.0141490548
HD179376,288.04794,4.39135,2,56.9224911612
HD84305,145.77324,-43.27372,3,93.6333807998
HD309701,145.20755,-62.89066,8,79.6626637767
HD103197,178.22252,-50.29294,62,382.230990371
BD-073837,215.79803,-8.1182,6,88.239560289
HD16382,38.25787,-72.43989,9,242.075071001
HD128431,219.39173,-29.36655,7,98.0032652517
HD82783,143.36402,-30.66707,20,208.445220622
HD18986,45.70632,-14.39625,2,58.2021477267
BD-035691,355.54302,-2.57701,1,31.3
HD215625,341.70532,-20.79269,6,148.925820461
HIP48766,149.19652,-31.2423,2,63.6611341401
BD+03353,38.32948,4.42232,2,60.9
HD113679,196.47122,-38.51687,21,560.73488388
HIP15587,50.19566,-62.27483,5,82.4535626883
HD146624,244.57207,-28.61492,47,1609.4226325
HIP39611,121.42348,-59.4256,16,127.01405434
HD131664,225.02802,-73.53473,37,340.804548092
HD96290,166.00335,-74.24881,13,193.724262807
HD18978,45.59646,-23.62352,12,1038.7957499
BD+191739,112.1343,19.64779,2,47.8840265642
HD215722,341.87711,-24.56218,5,60.7486625367
HD119772,206.33264,-10.52534,2,65.6804384882
HIP35992,111.25099,-38.35017,15,161.442683328
HIP41795,127.83198,-68.5896,11,87.8673431942
LP816-60,313.13373,-16.97746,122,164.474770102
HD274255,82.56156,-42.69881,6,112.57046682
HD172513,280.50898,-34.46569,44,899.668355562
Gl536,210.25857,-2.65808,195,534.519840605
HD13578,32.53473,-64.35575,9,169.243050079
HD71685,127.06874,-14.58714,39,499.686791901
CCDMJ01488-0126BC,27.19172,-1.43869,2,77.5154823245
HIP101844,309.57343,-55.60824,1,20.5
HIP27323,86.82708,-48.52559,10,95.6217025575
HD60753,113.36207,-50.58543,24,941.752271035
HD101581,175.2609,-44.4053,6,329.453653797
HD224432,359.47741,-7.09022,2,48.7209400566
HD-42659,92.83875,-15.7941,49,753.328620192
LTT7434,281.4923,-28.916,9,79.4601157814
HD177724,286.35115,13.8634,2,670.05452017
HD22049,53.22839,-9.45641,23,1328.89733238
HD37561,84.9447,10.337,1,31.7
HD125271,216.65112,-81.45291,9,82.7636997723
HD97037,167.5572,-7.39044,102,1621.90273444
GJ1232,287.46069,17.66647,9,9.14603739332
HD39427,87.61476,-43.69989,23,243.461085186
HD221974,354.19083,-17.23664,4,83.9873204716
HD89454,154.81915,-11.37935,49,939.668638404
HD114729,198.18447,-31.87418,66,1487.82876367
HD125881,216.18922,-63.70643,76,1330.7232432
HIP82357,252.41496,-65.07862,10,73.3736328663
HD162236,267.7798,-27.39375,17,397.317580784
HD149747,259.97173,-87.23939,9,123.041822158
HD11563,28.23929,-28.08149,1,51.1
HD77191,135.33972,10.73044,4,141.215154994
BD-183106,166.86526,-19.29161,8,73.7042739602
HD117359,202.93957,-67.41683,16,140.286314372
BD-043873,230.51364,-4.78037,7,94.8808199796
HD103949,179.54885,-23.92406,4,200.043320308
HD120272,207.31915,-40.51663,1,77.0
HD117207,202.33829,-35.57106,89,1390.98240104
HD-50169,102.99582,-1.64442,23,401.632568401
HD36705,82.18568,-65.44935,7,217.136201496
HD204941,323.09641,-20.9595,82,872.54445732
HD113538,196.24096,-52.44376,92,298.178235289
HIP17956,57.58263,-23.82963,8,89.3211621062
HD129829,221.32773,-18.00402,5,131.540602097
HD104982,181.30735,-28.71767,40,920.292187297
HD58489,111.0204,-40.04754,21,211.455929215
HD52449,103.3144,-74.7246,18,242.910147997
HD12039,29.45255,-21.8992,25,542.336445392
HD24636,57.05348,-74.69427,1,56.1
HD106275,183.468,-69.05991,24,458.802615511
HD4208,11.11116,-26.51253,33,685.475703435
HIP13685,44.06668,-50.19093,2,53.3487581861
HD88885,153.63859,-27.03623,11,149.232503162
HD-965,3.5149,-0.03332,14,371.614047097
HD61261,114.38101,-24.59731,2,43.5598438932
HD223315,357.15292,-15.21278,3,79.7373814468
HD97320,167.76205,-65.42811,26,553.386501462
HD154363,256.26228,-5.06677,214,967.925699628
HD37351,83.30783,-65.02411,2,51.5061161417
CPD-60315B,67.98291,-59.87563,4,60.1040764009
HD66040,119.81032,-52.15201,32,221.182187348
No-Name,45.13639,-81.90188,31,268.527670827
HD111232,192.21712,-68.42474,56,936.162694194
HIP58608,180.27894,-1.73234,5,68.5117508169
HD22177,53.00784,-52.47484,7,180.162593232
HIP118086,359.30946,-16.50937,4,52.0181699024
Gl618A,245.01403,-37.52763,21,139.02417056
HD105938,182.91319,-54.41795,3,142.312086627
AlpLeo,152.09209,11.96533,2,866.280907097
Gl701,271.28347,-3.03262,145,552.232876602
HD76859,134.37228,-39.77845,1,42.5
HD148211,246.80389,-22.12855,82,970.054060349
BD-032525,134.7939,-4.02751,6,261.087092749
HD25632,60.63747,-38.3903,3,64.5461850151
HD-59435,112.3958,-9.25835,5,226.224866007
HD3968,10.29736,-68.45811,2,63.957642233
HIP15360,49.51487,-30.40384,2,39.9621070516
HIP54597,167.60907,-29.41513,42,239.007656781
HD70903,126.04342,-11.44051,14,168.711617857
Gl643,253.85595,-8.32367,11,59.2710722022
HD93380,161.65378,-24.5884,6,165.281638424
HD128575,220.68104,-74.31111,2,37.6830200488
HD134088,227.05286,-7.91418,130,1119.5354349
HD38265,85.87019,-25.6215,17,185.434543707
HD142709,239.41417,-42.62664,66,772.656929044
HD186302,297.28239,-70.18711,11,125.355055742
HD10092,24.40032,-49.26519,2,61.3921819127
BD+083095,237.74483,8.42196,3,79.1035397438
HD100289,173.06187,-31.38299,14,554.295661177
HD124785,214.24077,-50.28169,17,322.353222413
HD112776,194.88722,-38.22069,3,67.5929730076
HD155915,259.55197,-60.45962,2,75.5463433926
CD-2412897,253.1021,-24.70405,2,20.0232365016
HD10678,25.65183,-58.41427,2,88.7360129823
HD87838,151.89208,-6.43965,98,1229.04748078
HD129642,221.28843,-49.91694,85,903.244053399
HD192117,305.07055,-75.58144,2,113.986183373
HD73267,129.07462,-34.46112,67,469.326474855
CD-3810856B,241.25692,-38.41156,2,69.2483212793
HD18257,44.04777,13.91079,2,48.6491520995
HD210752,333.18156,-6.46634,46,945.73846279
HD150177,249.91218,-9.55413,51,1401.16666746
HD215497,341.65555,-56.6,116,485.460760515
HD95533,165.36428,-19.82003,6,123.311962112
HIP107133,325.51579,-30.59314,24,131.371115547
HD141597,237.66209,-23.26328,11,198.325414408
HD69363A,122.20862,-76.63889,1,22.8
HD30119,70.55878,-49.38091,1,40.0
NONE,164.95854,-61.86818,11,11.2787410645
HD79601,138.43726,-42.31058,124,1233.30842047
HD208487,329.33136,-37.76277,20,833.494109157
HD98586,169.90177,-64.68894,8,120.305195233
HD62847,115.96891,-46.8526,14,154.056450693
Sun-sky,354.11577,-30.00056,1,367.8
HIP40459,123.91862,-26.01067,33,185.537785909
HD45943,97.17062,-38.57074,2,48.4744262472
HD90133,155.80139,-48.33619,10,114.910138804
HD24348,57.85537,-27.48207,1,27.8
HD198075,312.06224,-12.45674,22,523.04202508
HD95860,165.71191,-53.24759,7,145.422144118
BD-080535,42.93589,-8.27042,4,66.6936278815
CPD-52498,62.26313,-51.88605,1,26.1
CD-451246,276.25427,-45.4786,4,65.7898168412
HD147147,245.11002,-11.53683,2,41.5422676319
HIP116491,354.07502,-48.58654,7,88.6403407033
HD42505,91.68664,-62.68241,4,58.0973321246
HD299043,155.28621,-52.5067,14,112.046552825
Gl569A,223.6212,16.10002,25,150.082610585
HD140785,236.80292,-42.20464,6,102.625922651
HD12265,29.95206,-27.04045,2,58.2662852772
GJ1256,310.14116,15.50082,10,11.5792918609
HD208704,329.59771,-12.66714,66,1391.04836365
HD41842,91.56791,-27.90426,4,113.414152556
HD54359,107.03599,-9.96859,2,39.477081959
HD174564A,283.52841,-54.35495,9,109.125065865
Sun-sky,326.35072,-27.0199,1,296.3
BD-033746,228.49516,-3.79851,5,70.8751719575
HD55279,105.1281,-79.69307,16,236.967086322
HD66030,119.48191,-62.06629,1,43.2
HD101612,175.34458,-26.66793,42,663.32843298
HIP83941,257.35866,-35.39237,97,251.162497201
HD144628,242.42166,-56.44774,345,2661.1123351
HD211317,334.69268,-68.31634,12,163.807936316
HD64942,118.9909,-9.79608,5,162.988772619
HIP21934,70.73469,-44.19441,48,246.060541331
HD206163,325.56768,-57.61355,1,122.8
Gl678.1A,262.59509,5.54813,151,559.292463743
HD15767,37.92558,-15.27573,2,57.1428035714
HD104800,181.02399,3.3394,64,564.617720232
HD37896,84.69313,-52.48985,2,54.6547344701
HD38393,86.11294,-22.44656,4,530.592140914
HD151282,252.87479,-67.56375,1,35.3
BD+102079,149.42646,9.97694,2,57.7691959439
HIP32530,101.81744,-18.25943,5,70.2736792832
HD37990,85.18042,-36.58377,20,298.945045117
HD138763,233.58376,-5.69558,48,1063.1610085
HD187456,299.07029,-72.36354,36,481.07658434
HD149396,248.9785,-37.36232,114,442.57446831
HD218750,347.7544,-50.96793,10,131.236389771
HD33081,76.78523,-17.29873,3,111.295507546
HD95922,166.00677,-0.03188,1,47.4
HD117618,203.10818,-47.27126,10,615.668449736
HD214998,340.56805,-5.7358,2,55.8660003938
HD134113,226.94294,8.87952,28,520.040296516
HIP35937,111.14193,-80.18575,8,83.8396684154
HD137303,231.48968,-26.70974,16,333.732093153
HD66168,119.04263,-71.98586,8,145.412654195
HD119782,206.67573,-56.84995,19,419.890700064
HD132569,225.08117,-16.54175,47,268.776673095
HD214094,339.1732,-43.47316,14,301.146243543
HD148303,247.08406,-31.1325,73,674.835231742
EF-Aqr,345.32941,-6.44277,4,109.524837366
HIP14313,46.15551,-51.31853,1,32.3
HD156517,259.51594,-1.28856,28,149.284627474
HD204287,322.30242,-50.31858,6,189.266531643
Sun-sky,356.76507,-30.0008,1,358.0
HD23472,55.466,-62.76641,14,137.404439521
HIP32812,102.60265,-51.04622,20,183.943143389
HIP1745,5.51616,-24.9462,5,85.3441269215
HD149686,249.41393,-30.95479,1,35.5
HD222368,354.98623,5.62238,14,1206.71239324
HIP95903,292.5516,-54.93704,76,527.623331554
HD118563,204.61922,-38.32124,12,125.787042258
HD24199,57.4134,-37.73502,1,41.3
HD224433,359.45674,-30.44962,9,139.795708089
Sun-sky,355.87919,-30.00073,1,361.4
HD24070,57.25186,-26.0327,1,92.4
HIP100490,305.67959,-58.28565,7,70.5893759712
GJ1154A,183.56627,0.62295,5,13.4948138186
HIP31634A,99.29917,-50.03941,9,193.328968342
Gl752A,289.22943,5.16715,146,592.016021743
HIP118180,359.58872,-53.81048,4,62.6630672725
HD154417,256.31872,0.70154,15,1029.43049304
HD103929,179.5286,-4.37116,1,47.1
HD145666,243.75854,-56.37705,28,661.254633254
HD52265,105.07626,-5.3681,6,478.554218454
HD176157,284.73127,-0.50679,2,187.429053244
HD111031,191.62958,-11.81312,40,1149.79551225
HD74698,130.07978,-71.87741,66,445.121444103
HD137053,231.12061,-16.98831,1,15.9
HD127168,217.50068,-4.24838,1,62.5
HD219509,349.33533,-66.92391,9,90.7428234077
Gl514,202.50077,10.37655,159,642.545111257
HD25579,60.34459,-49.52399,1,35.6
LHS337,189.70382,-38.38261,10,27.5564874394
HD154577,257.53188,-60.73088,667,3141.49726882
HD177409,287.47793,-68.29902,25,636.362506752
HD131218,224.91168,-78.50993,6,77.0099993507
HD123619,212.30535,-22.53794,4,79.3623966372
HD44627,94.80328,-58.05504,26,408.913474955
HD115773,199.99365,-41.19122,15,409.429676501
HD139409,234.6716,-17.6641,9,108.600966847
HIP10741,34.55634,-36.33725,11,102.391698882
HD176986,285.77099,-11.04681,149,1146.16850855
HD26609,63.03788,-10.4699,1,40.3
BD+034525,318.47394,4.45293,1,22.3
HD23314,56.16373,10.17523,2,59.1384815497
HD136407,230.25584,-15.54796,1,94.0
Sun-sky,354.99748,-30.00065,1,365.0
CCDMJ19109-4805A,287.72749,-48.07787,1,29.7
HD187532,297.69443,-10.76308,50,1764.66102411
HD100788,173.89338,-52.46993,2,61.4479454498
HD128674,220.11667,-57.02994,22,867.606264385
HIP107758,327.43988,-11.68024,4,45.1656949465
HD42269,89.75137,-78.28283,10,101.201037544
HD176666,286.3307,-61.69296,35,405.409792679
BD+11533,58.10128,12.37656,1,35.9
HD22897,55.14352,-2.22115,5,79.0066452901
HD18777,44.33176,-68.52613,6,75.8484014334
HD27471,64.50315,-45.65156,6,134.516839095
HD188748,300.44767,-69.19128,20,516.448797075
HD178445,287.71797,-47.15784,12,124.202173894
HD125595,215.34504,-40.39306,137,622.242717916
HD12477,29.92018,-66.06807,1,164.2
HIP39726,121.79304,-21.27627,2,45.7839491525
BD+063077,234.66261,6.37486,1,23.7
HD134060,227.68558,-61.42168,335,3297.96074719
BD-062423A,120.77885,-6.41621,1,39.5
Gl465,186.21859,-18.24659,23,105.384960976
HD95456,165.16932,-31.83906,241,3310.94097501
HD33473A,77.12467,-41.21323,15,285.655089225
Gl479,189.46578,-52.00108,58,258.752140088
BD-200470,37.87639,-20.02652,11,116.976707083
HD223781,358.15251,10.94589,8,579.975283956
HD-1909,5.80151,-31.03764,27,599.626333645
HD-28635,67.86661,13.89675,35,326.419852337
stab,336.89888,-77.71524,27,372.469528955
HD201219,316.98221,7.43199,12,205.420933695
HD210739,333.23742,-26.32683,10,577.426973738
HV12452,72.2179,-69.3573,50,21.4853438418
HV873,73.60271,-70.90047,27,28.7088836425
GJ517,203.67692,-8.34037,16,297.167343428
HD-214853,340.35818,-27.25773,17,352.842599469
HR1217,58.81147,-12.10052,61,1617.91794909
HD109138,188.37469,-75.38569,21,203.884550665
NGC2539No652,122.44788,-12.90497,168,468.764823766
Xi-Phe-A,10.44395,-56.50249,17,607.06802749
HV877,74.25931,-67.99468,24,16.4
HD177178,285.88372,1.81817,31,756.073514944
HD98248,169.55508,15.96934,12,329.686457107
HV6093,89.4494,-68.68474,41,14.9646249535
HD14943,35.72467,-51.09234,77,2044.19878681
IC4651No7646,261.1707,-49.98531,269,415.528591074
HV900,76.71227,-70.03643,28,25.6123017318
HD-208217,329.24033,-61.84693,8,539.830760517
NGC2360No119,109.45067,-15.66092,140,310.626528165
HD74000,130.21122,-16.34643,28,734.910463934
HD183993,292.99888,5.39884,15,400.191891472
HD-128429,219.24856,-12.30707,122,1404.7813175
NGC4349No53,185.94056,-61.91003,204,300.84846684
HD5470,14.16561,17.95671,10,400.839693643
HD223011,356.50337,-40.18332,46,1499.60173713
HD177122,286.17149,-31.37285,12,182.340286278
HD167468,275.90447,-75.03962,12,888.58896572
HD197623,311.23328,0.29164,16,391.509565656
HD140538,236.00379,2.515,127,1686.08243571
HD-190248,302.19123,-66.18288,911,8515.78811679
HD-565,2.46338,-62.29728,15,591.746609623
HD11616,28.55071,9.94838,3,304.384296573
HD224230,359.03798,-72.00026,6,93.5585912677
HIP59925,184.38072,-24.01729,7,93.5051335489
HD-210591,333.2771,-59.69208,10,333.019443877
HR7596,298.68605,0.27129,71,1604.44693586
HD693,2.81483,-15.46805,36,1470.58410164
TR162,202.75006,-63.97682,11,4.98297100132
HD166745,273.38747,-33.49871,7,111.283421946
HD142629,239.2209,-33.9655,28,1311.80266428
HD3758,10.11293,16.57638,4,299.695528829
HD-129750,221.9873,-68.52043,7,420.585841416
HD6512,16.55289,13.25028,10,448.639432061
HV876,74.30546,-67.38251,28,20.5372831699
HV1006,84.34816,-69.48312,24,336.112272909
HD14651,35.50433,4.74488,8,262.496857124
HD129229,220.3282,3.44724,13,398.120182859
BD-044138,249.5813,-5.02112,11,103.021259942
HIP56838,174.78586,-27.69669,7,108.943746952
HV2405,78.68188,-70.70861,39,11.8279330401
HD199254,313.90947,12.56785,47,1614.72846943
HD91816,159.00679,-11.91307,174,2820.88865253
HD17848,42.25131,-62.80703,24,1199.86294217
HD126248,216.0465,5.8189,50,1883.30440715
HD175638,284.05359,4.2025,64,2153.93204396
HD-61273,114.70653,7.96207,12,356.239175274
HD96937,167.41563,2.45507,14,561.304017445
HIP64965,199.73494,-3.07317,6,86.6588714443
GQLup,237.29838,-35.65089,19,57.4525021213
HD128113,218.83619,-11.74673,4,74.1468138223
TR172,198.30394,-64.78577,10,3.72961123979
HD150633,250.45659,13.14896,16,504.514647954
HD156991,260.38037,-22.92439,10,145.644361374
HD180263,288.89359,11.55374,8,201.703867092
HD139879,235.22968,-8.99811,14,199.798598594
HD157750,261.64468,-32.96914,5,141.663015639
HD148577,247.42975,-18.68052,15,164.350174931
HD25457,60.64915,-0.27038,58,1692.61560905
HV881,74.6428,-70.34545,72,35.0784834336
HD206658,325.8218,12.51401,11,448.751144845
HD148156,247.0713,-46.31706,28,312.104309486
HD187691,297.75035,10.41155,32,1498.87139542
HD-319,1.94551,-22.51038,21,743.513207684
HIP96240,293.53829,-23.01493,7,84.2727714033
Gamma-Equ,317.57741,10.12997,16,1065.36756099
HD219781,349.5989,12.1116,10,354.456358386
HD7355,18.46579,5.13995,8,500.812479876
HD-119027,205.33064,-28.7819,13,210.326745803
HD108581,187.12955,-18.29626,11,111.582032604
HD18692,44.89863,-25.27531,10,625.823401608
HD-210139,332.19141,-25.77297,10,370.243055303
HD9081,22.42559,17.0961,7,407.727421202
HD160613,265.35354,-12.87642,18,1184.48873359
HD143790,240.89178,-31.9989,19,544.941593201
HD209819,331.60796,-13.87233,16,1124.39879047
HD146514,244.23107,-3.95722,18,848.595091902
HD119802,206.30781,8.83465,3,107.949478924
HD113998,196.85034,11.13175,16,409.525151853
HD28969,68.36976,-7.84184,4,97.6185433204
OGLE-TR-154,178.23171,-62.28317,7,4.38634243989
HD222095,354.45827,-45.49243,22,1176.98230658
HD184985,294.39032,-14.30205,39,1417.98540543
HD-126515,216.48244,0.99144,32,799.83742098
HD154160,255.79159,14.51055,9,431.822324573
HD-116114,200.4429,-18.74435,125,1196.38597451
IC2714No190,169.19956,-62.72941,217,337.052265977
78-Vir,203.53414,3.65836,15,1065.89507926
HV12505,74.48909,-68.8151,18,6.56048778674
HD9920,24.26007,5.62828,9,426.753254235
HD200078,315.17708,17.44696,6,280.024284661
HD-2696,7.59195,-23.78688,28,1398.08852366
HR9087,0.45669,-3.02947,41,1542.69258441
HD-118551,204.86293,-63.98661,7,223.693160378
TWHydra,165.4644,-34.70382,34,147.972024383
HD202917,320.20543,-53.03517,45,1213.25486193
HD184768,293.99916,0.09171,6,414.593403228
HD145377,242.90193,-27.07953,58,510.006950933
BD-210397,33.29997,-21.19616,73,314.205728783
HR-4854,191.75892,5.94925,30,916.354652959
HD101650,175.41767,-23.19924,22,168.923266604
HD177444,286.25049,-7.14255,1,90.4
HD10337,25.27823,3.71216,5,352.071725647
HD-93507,161.46146,-68.1315,31,471.412070274
HD15942,38.51601,12.17876,5,467.942774279
HD103720,179.16812,-2.77767,78,336.832985321
solar_spectrum,16.30465,-26.306,5,374.638252185
HD171834,279.15754,6.67041,134,2130.25616065
HD143114,239.90885,-29.632,22,809.498400245
TWA25,183.88087,-39.81317,9,98.2002036658
HD102195,176.42674,2.8199,23,626.606790579
HD149661,249.08966,-2.32534,12,737.421460225
HD-144059,242.12982,-67.32295,12,313.316900278
NGC5822No8,226.16677,-54.35196,96,337.491614711
HD-24015,57.50011,9.2725,19,343.916952185
HD132307,224.54149,6.90421,6,303.429448142
HV2369,78.47175,-67.06428,35,30.4194017035
HD221638,353.65557,-70.9621,26,341.280720229
HIP95417,291.1399,-22.06148,9,66.6699332533
Sun-sky,48.0123,-26.99989,1,408.4
HD166348,273.08778,-43.44588,15,194.535703664
HD102843,177.58424,-1.2528,7,100.319290269
BD07+2411B,166.52697,7.02996,28,425.576679342
OGLE-TR-168,203.0435,-64.54975,8,3.80919939095
Sun-sky,46.85069,-27.00031,1,412.7
HD197210,310.62349,-5.30313,23,694.976826952
HV2527,81.4121,-71.11002,16,7.97182538695
HD174429,283.27331,-50.18098,32,549.865910927
IC4756No38,279.26736,5.29214,53,259.386584079
HD140901,236.87096,-37.9164,47,1330.47553529
HD213845,338.6721,-20.7085,41,1485.95879485
Sun-sky,192.01329,-3.43799,5,446.514311081
HD221627,353.39591,17.81763,7,608.504905486
HD171665,279.30289,-25.67053,20,719.813107688
HD111814,192.93426,19.22481,14,392.586487287
HD147449,245.51717,1.0279,38,1433.4573799
HV2538,81.78747,-68.49518,14,9.4878870145
BPM14269,326.12132,-60.97809,5,65.9725700576
HD181321,290.37225,-34.98318,33,546.727262902
BD+012063,124.82998,1.33695,11,242.025453207
HD-83368,144.10424,-48.75116,46,834.318913845
HD4293,11.23544,-42.67669,30,1194.68354806
HD32977,76.94388,20.41271,38,1435.52094725
HD147935,246.45432,-27.81838,28,258.502263046
HD-87488,151.20598,-28.1926,48,912.149516253
Possible-nova-in-Norma,244.93478,-51.58189,5,41.2742050196
HD149933,249.43687,0.04077,16,515.311682383
HV1023,86.65156,-68.18489,29,20.4401565552
HD142072,238.13741,-1.90665,9,236.239137316
HD198390,312.40708,12.54298,23,1109.8393172
HD141024,236.58952,13.71759,8,384.602002075
V343Nor,234.73426,-57.70784,14,337.939861514
Sun-sky,101.39277,-27.00004,31,1356.72559127
HD186803,296.8235,-18.74584,5,199.436481116
HD77278,135.44731,6.49774,6,276.063163062
HD155712,258.15434,18.35098,16,484.597936438
HD190594,301.38623,3.50329,6,290.333360122
HD158352,262.20577,0.32926,21,1159.20721185
HD153851,255.59463,-11.89424,11,282.208610783
HD144411,241.54712,-10.99035,22,274.981417554
HD-81009,140.71001,-9.83783,43,940.043722387
HD134664,228.04248,-30.88543,33,837.500686567
HD-125248,214.65899,-18.71824,40,1243.81543245
HV2549,81.75934,-71.64219,17,14.1929559994
CD386968,167.416,-39.11283,9,120.790272787
HD-206561,325.76699,-14.39902,12,689.931025538
HD-204943,323.13777,-24.59113,12,533.407058446
HD203473,320.57291,5.02272,13,404.691746889
HD176638,285.7769,-42.09489,10,701.399486741
NGC3114No262,151.43192,-60.31696,43,409.09036899
HD115231,198.90102,9.01411,5,266.718109621
HD211976,335.23052,8.18683,30,1090.91066087
HR-6958,278.02568,3.65986,36,1114.32930501
HD-205471,324.04456,-26.17048,12,635.647827024
NGC6633No106,276.99512,6.91092,225,1352.74413323
HD-134214,227.25914,-14.00096,27,741.926310357
HD95650,165.65724,21.96421,12,167.413918179
HD113449,195.95481,-5.16137,21,436.17158321
HD92945,160.86567,-29.06299,35,569.974560836
HD126583,216.48745,13.42908,5,295.394211182
HD126829,217.05014,-16.11174,15,122.619778176
HD13555,33.19681,21.20841,27,1015.26808775
